STRATUM,YEAR,SEASON,SVSPP,n_individ,tot_mass,n_station,n_tow,n_individ_PUE,tot_mass_PUE,SCINAME,COMNAME
01240,1983,autumn,131,1,0.1,1,1,1,0.1,PEPRILUS TRIACANTHUS,BUTTERFISH
01240,1983,autumn,155,100,39.3,3,3,33.333333333333336,13.1,SEBASTES FASCIATUS,ACADIAN REDFISH
01240,1983,autumn,159,4,0.1,2,2,2,0.05,ARTEDIELLUS SP,HOOKEAR SCULPIN UNCL
01240,1983,autumn,161,1,0,1,1,1,0,TRIGLOPS MURRAYI,MOUSTACHE SCULPIN
01240,1983,autumn,163,1,0,1,1,1,0,MYOXOCEPHALUS OCTODECEMSPINOSUS,LONGHORN SCULPIN
01240,1983,autumn,164,2,2,1,1,2,2,HEMITRIPTERUS AMERICANUS,SEA RAVEN
01240,1983,autumn,165,1,0,1,1,1,0,ASPIDOPHOROIDES MONOPTERYGIUS,ALLIGATORFISH
01240,1983,autumn,192,2,6,1,1,2,6,ANARHICHAS LUPUS,ATLANTIC WOLFFISH
01240,1983,autumn,197,2,5.2,2,2,1,2.6,LOPHIUS AMERICANUS,GOOSEFISH
01240,1983,autumn,305,NA,14.299999999999999,6,6,NA,2.3833333333333333,CRUSTACEA SHRIMP,SHRIMP UNCL
01240,1983,autumn,306,1713,9.6,3,3,571,3.1999999999999997,PANDALUS BOREALIS,NORTHERN SHRIMP
01240,1983,autumn,312,1,0.1,1,1,1,0.1,CANCER BOREALIS,JONAH CRAB
01240,1983,autumn,502,2,0.8,2,2,1,0.4,ILLEX ILLECEBROSUS,NORTHERN SHORTFIN SQUID
01240,1983,autumn,503,1,0.2,1,1,1,0.2,LOLIGO PEALEII,LONGFIN SQUID
01240,1983,autumn,510,1,0,1,1,1,0,OCTOPODA,OCTOPUS UNCL
01240,1983,spring,001,1,0,1,1,1,0,MYXINE GLUTINOSA,ATLANTIC HAGFISH
01240,1983,spring,027,6,3.9,4,4,1.5,0.975,MALACORAJA SENTA,SMOOTH SKATE
01240,1983,spring,028,13,37.1,4,4,3.25,9.275,AMBLYRAJA RADIATA,THORNY SKATE
01240,1983,spring,072,118,7.2,6,6,19.666666666666668,1.2,MERLUCCIUS BILINEARIS,SILVER HAKE
01240,1983,spring,073,8,39.5,4,4,2,9.875,GADUS MORHUA,ATLANTIC COD
01240,1983,spring,074,5,14.2,4,4,1.25,3.55,MELANOGRAMMUS AEGLEFINUS,HADDOCK
01240,1983,spring,076,23,18.8,5,5,4.6,3.7600000000000002,UROPHYCIS TENUIS,WHITE HAKE
01240,1983,spring,077,95,30.8,6,6,15.833333333333334,5.133333333333334,UROPHYCIS CHUSS,RED HAKE
01240,1983,spring,083,4,0.2,2,2,2,0.1,ENCHELYOPUS CIMBRIUS,FOURBEARD ROCKLING
01240,1983,spring,102,105,44.1,6,6,17.5,7.3500000000000005,HIPPOGLOSSOIDES PLATESSOIDES,AMERICAN PLAICE
01240,1983,spring,104,4,0.7,1,1,4,0.7,PARALICHTHYS OBLONGUS,FOURSPOT FLOUNDER
01240,1983,spring,107,32,23.7,5,5,6.4,4.74,GLYPTOCEPHALUS CYNOGLOSSUS,WITCH FLOUNDER
01240,1983,spring,155,93,83.1,4,4,23.25,20.775,SEBASTES FASCIATUS,ACADIAN REDFISH
01240,1983,spring,163,5,1.1,3,3,1.6666666666666667,0.3666666666666667,MYOXOCEPHALUS OCTODECEMSPINOSUS,LONGHORN SCULPIN
01240,1983,spring,164,3,1.9000000000000001,2,2,1.5,0.9500000000000001,HEMITRIPTERUS AMERICANUS,SEA RAVEN
01240,1983,spring,181,15,0.2,1,1,15,0.2,AMMODYTES DUBIUS,NORTHERN SAND LANCE
01240,1983,spring,190,1,0,1,1,1,0,LYCENCHELYS VERRILLI,WOLF EELPOUT
01240,1983,spring,193,5,10,1,1,5,10,MACROZOARCES AMERICANUS,OCEAN POUT
01240,1983,spring,197,3,8.700000000000001,2,2,1.5,4.3500000000000005,LOPHIUS AMERICANUS,GOOSEFISH
01240,1983,spring,301,1,1,1,1,1,1,HOMARUS AMERICANUS,AMERICAN LOBSTER
01240,1983,spring,305,NA,2.1,2,2,NA,1.05,CRUSTACEA SHRIMP,SHRIMP UNCL
01240,1984,autumn,015,34,56.1,4,4,8.5,14.025,SQUALUS ACANTHIAS,SPINY DOGFISH
01240,1984,autumn,023,2,14.5,2,2,1,7.25,LEUCORAJA OCELLATA,WINTER SKATE
01240,1984,autumn,026,2,1.2,1,1,2,1.2,LEUCORAJA ERINACEA,LITTLE SKATE
01240,1984,autumn,028,9,34.1,5,5,1.8,6.82,AMBLYRAJA RADIATA,THORNY SKATE
01240,1984,autumn,032,1,0.5,1,1,1,0.5,CLUPEA HARENGUS,ATLANTIC HERRING
01240,1984,autumn,056,1,0,1,1,1,0,MYCTOPHIDAE,LANTERNFISH UNCL
01240,1984,autumn,072,299,58.6,6,6,49.833333333333336,9.766666666666667,MERLUCCIUS BILINEARIS,SILVER HAKE
01240,1984,autumn,073,6,45,4,4,1.5,11.25,GADUS MORHUA,ATLANTIC COD
01240,1984,autumn,074,3,11,2,2,1.5,5.5,MELANOGRAMMUS AEGLEFINUS,HADDOCK
01240,1984,autumn,075,1,2.3,1,1,1,2.3,POLLACHIUS VIRENS,POLLOCK
01240,1984,autumn,076,34,40.6,5,5,6.8,8.120000000000001,UROPHYCIS TENUIS,WHITE HAKE
01240,1984,autumn,077,44,16.2,6,6,7.333333333333333,2.6999999999999997,UROPHYCIS CHUSS,RED HAKE
01240,1984,autumn,083,3,0.2,2,2,1.5,0.1,ENCHELYOPUS CIMBRIUS,FOURBEARD ROCKLING
01240,1984,autumn,084,2,4.5,1,1,2,4.5,BROSME BROSME,CUSK
01240,1984,autumn,102,60,24.8,6,6,10,4.133333333333334,HIPPOGLOSSOIDES PLATESSOIDES,AMERICAN PLAICE
01240,1984,autumn,106,1,1.2,1,1,1,1.2,PSEUDOPLEURONECTES AMERICANUS,WINTER FLOUNDER
01240,1984,autumn,107,17,6.5,5,5,3.4,1.3,GLYPTOCEPHALUS CYNOGLOSSUS,WITCH FLOUNDER
01240,1984,autumn,155,8,5.8,2,2,4,2.9,SEBASTES FASCIATUS,ACADIAN REDFISH
01240,1984,autumn,171,1,0,1,1,1,0,PRIONOTUS CAROLINUS,NORTHERN SEAROBIN
01240,1984,autumn,197,7,51.6,5,5,1.4,10.32,LOPHIUS AMERICANUS,GOOSEFISH
01240,1984,autumn,305,NA,9.3,5,5,NA,1.86,CRUSTACEA SHRIMP,SHRIMP UNCL
01240,1984,autumn,322,3,0.2,1,1,3,0.2,OVALIPES OCELLATUS,LADY CRAB
01240,1984,autumn,502,3,0.8,1,1,3,0.8,ILLEX ILLECEBROSUS,NORTHERN SHORTFIN SQUID
01240,1984,autumn,503,8,0.3,1,1,8,0.3,LOLIGO PEALEII,LONGFIN SQUID
01240,1984,spring,023,3,11,1,1,3,11,LEUCORAJA OCELLATA,WINTER SKATE
01240,1984,spring,027,4,2.6,2,2,2,1.3,MALACORAJA SENTA,SMOOTH SKATE
01240,1984,spring,028,13,48.1,4,4,3.25,12.025,AMBLYRAJA RADIATA,THORNY SKATE
01240,1984,spring,032,2,0.2,1,1,2,0.2,CLUPEA HARENGUS,ATLANTIC HERRING
01240,1984,spring,033,2,0.1,1,1,2,0.1,ALOSA PSEUDOHARENGUS,ALEWIFE
01240,1984,spring,072,81,11.3,6,6,13.5,1.8833333333333335,MERLUCCIUS BILINEARIS,SILVER HAKE
01240,1984,spring,073,10,59.8,4,4,2.5,14.95,GADUS MORHUA,ATLANTIC COD
01240,1984,spring,075,4,27,3,3,1.3333333333333333,9,POLLACHIUS VIRENS,POLLOCK
01240,1984,spring,076,15,14.3,3,3,5,4.766666666666667,UROPHYCIS TENUIS,WHITE HAKE
01240,1984,spring,077,108,35.2,6,6,18,5.866666666666667,UROPHYCIS CHUSS,RED HAKE
01240,1984,spring,102,33,9.8,5,5,6.6,1.9600000000000002,HIPPOGLOSSOIDES PLATESSOIDES,AMERICAN PLAICE
01240,1984,spring,106,1,1.1,1,1,1,1.1,PSEUDOPLEURONECTES AMERICANUS,WINTER FLOUNDER
